index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4244,561773,ASASSN-V J181009.65-360543.3,RRAB,0.1384,14.25,4559.147,0.52593,0.0464
4245,502630,ASASSN-V J195756.83+040119.9,RRAB,0.4641,14.95,2281.196,0.69554,0.0731
4246,480222,ASASSN-V J190957.08-060145.8,RRAB,0.1811,15.58,5491.411,0.58622,0.0344
4247,461854,ASASSN-V J160707.35-005611.5,RRAB,0.1646,15.2,6540.275,0.62459,0.0268
4248,451689,ASASSN-V J172924.56+151637.7,RRAB,0.0664,15.7,5503.81,0.67686,0.0372
4249,452041,ASASSN-V J213613.22+253728.9,RRAB,0.0698,15.37,5729.322,0.55295,0.0308
4250,AP54985986,ASASSN-V J140920.20-412908.0,RRAB,6.6262,14.56,150.2208,0.483121,0.0625
4251,488623,ASASSN-V J193146.05-163232.5,RRAB,0.0844,15.34,7394.071,0.5591,0.0296
4252,479004,ASASSN-V J104307.09-461905.4,RRAB,0.1801,14.41,4286.261,0.39076,0.0175
4253,28934970,ASASSN-V J190134.79-142431.1,RRAB,0.5691,14.26,1630.933,0.564229,0.0244
4254,483880,ASASSN-V J184034.09-251037.1,RRAB,0.0528,15.44,6749.465,0.48688,0.0404
4255,453689,ASASSN-V J174211.25+130853.1,RRAB,0.0667,16.01,5741.556,0.54153,0.0447
4256,450311,ASASSN-V J185529.70-361120.1,RRAB,0.0971,15,7334.617,0.5991,0.0327
4257,AP34032821,ASASSN-V J151848.15+020218.2,RRAB,1.5443,13.35,631.2803,0.47,0.0181
4258,467224,ASASSN-V J185227.04-332919.4,RRAB,0.0561,14.82,6875.377,0.63117,0.0314
4259,504354,ASASSN-V J184509.99-341916.3,RRAB,0.1486,15.92,4829.769,0.4698,0.0434
4260,29670151,ASASSN-V J165325.46-185402.4,RRAB,0.4682,15.38,2097.904,0.569417,0.0589
4261,466229,ASASSN-V J204453.12+225354.6,RRAB,0.1921,14.56,4013.891,0.66685,0.0224
